"key","car_title","context_identifier","execution_id","feed_code","fuel_type","gear_box","mileage","price_blurb","record_create_by","record_create_date","site","source_country","variant"
"","2018 Hyundai Santro","Used car in india","620115","carID123","Petrol","Automatic","16,929","5,20,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Sportz AMT BSIV"
"","2019 Mahindra XUV500","Used car in india","620115","carID123","Diesel","Manual","21,350","12,40,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","W7 BSIV"
"","2017 Honda Jazz","Used car in india","620115","carID123","Petrol","Automatic","22,267","5,53,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.2 V AT i VTEC"
"","2019 Renault Duster","Used car in india","620115","carID123","Petrol","Manual","24,533","7,10,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","RXS BSIV"
"","2020 Maruti Alto 800","Used car in india","620115","carID123","Petrol","Manual","5,861","3,65,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","LXI"
"","2021 Tata New Safari","Used car in india","620115","carID123","Diesel","Manual","45,772","20,23,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XZ Plus 6 Str"
"","2017 Renault KWID","Used car in india","620115","carID123","Petrol","Manual","35,869","3,35,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.0 RXT"
"","2017 Tata Hexa","Used car in india","620115","carID123","Diesel","Manual","65,047","10,23,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","XT 4X4"
"","2018 Hyundai Verna","Used car in india","620115","carID123","Petrol","Manual","25,626","9,04,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","VTVT 1.6 SX"
"","2017 Renault KWID","Used car in india","620115","carID123","Petrol","Automatic","45,567","3,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.0 RXT Optional AT 2016-2019"
"","2014 Hyundai i20","Used car in india","620115","carID123","Petrol","Manual","80,551","4,90,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","Asta 1.2"
"","2021 Skoda Rapid","Used car in india","620115","carID123","Petrol","Manual","12,998","11,31,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","1.0 TSI Style"
"","2020 Mahindra KUV 100 NXT","Used car in india","620115","carID123","Petrol","Manual","18,406","6,32,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","G80 K8 6Str"
"","2019 Mahindra XUV300","Used car in india","620115","carID123","Petrol","Manual","7,796","9,33,000","carID123_cardekho_usedcar","2022-09-16","www.cardekho.com","IND","W8"
