"key","car","context_identifier","execution_id","feed_code","record_create_by","record_create_dt","site","source_country","specification","src"
"","Mahindra XUV700","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:11","www.cardekho.com","IN","{""City Mileage"":""17.19 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""2198"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""182.38bhp@3500rpm"",""Max Torque (nm@rpm)"":""450Nm@1750-2800rpm"",""Seating Capacity"":""7"",""TransmissionType"":""Automatic"",""Fuel Tank Capacity"":""60.0"",""Body Type"":""SUV""}","https://www.cardekho.com/mahindra/xuv700"
"","Hyundai Alcazar","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:12","www.cardekho.com","IN","{""ARAI Mileage"":""18.1 kmpl"",""City Mileage"":""16.0 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""1493"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""113.42bhp@4000rpm"",""Max Torque (nm@rpm)"":""250nm@1500-2750rpm"",""Seating Capacity"":""6"",""TransmissionType"":""Automatic"",""Fuel Tank Capacity"":""50.0"",""Body Type"":""SUV"",""Service Cost (Avg. of 5 years)"":""Rs.3,731""}","https://www.cardekho.com/hyundai/alcazar"
"","Jeep Compass","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:13","www.cardekho.com","IN","{""ARAI Mileage"":""14.9 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""1956"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""167.67bhp@3750rpm"",""Max Torque (nm@rpm)"":""350nm@1750-2500rpm"",""Seating Capacity"":""5"",""TransmissionType"":""Automatic"",""Fuel Tank Capacity"":""60.0"",""Body Type"":""SUV"",""Service Cost (Avg. of 5 years)"":""Rs.10,280""}","https://www.cardekho.com/jeep/compass"
"","Tata Safari","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:13","www.cardekho.com","IN","{""ARAI Mileage"":""14.08 kmpl"",""City Mileage"":""14.0 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""1956"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""167.67bhp@3750rpm"",""Max Torque (nm@rpm)"":""350nm@1750-2500rpm"",""Seating Capacity"":""6"",""TransmissionType"":""Automatic"",""Boot Space (Litres)"":""73"",""Fuel Tank Capacity"":""50.0"",""Body Type"":""SUV""}","https://www.cardekho.com/carmodels/Tata/Tata_New_Safari"
"","MG Hector","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:14","www.cardekho.com","IN","{""City Mileage"":""13.0 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""1956"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""167.68bhp@3750rpm"",""Max Torque (nm@rpm)"":""350Nm@1750-2500rpm"",""Seating Capacity"":""5"",""TransmissionType"":""Manual"",""Boot Space (Litres)"":""587"",""Fuel Tank Capacity"":""60.0"",""Body Type"":""SUV"",""Ground Clearance Unladen"":""192"",""Service Cost (Avg. of 5 years)"":""Rs.6,019""}","https://www.cardekho.com/mg/hector"
"","Hyundai Tucson","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:15","www.cardekho.com","IN","{""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""1997"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""183.72bhp@4000rpm"",""Max Torque (nm@rpm)"":""416nm@2000-2750rpm"",""Seating Capacity"":""5"",""TransmissionType"":""Automatic"",""Body Type"":""SUV""}","https://www.cardekho.com/hyundai/tucson"
"","Tata Harrier","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:15","www.cardekho.com","IN","{""ARAI Mileage"":""14.6 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""1956"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""167.67bhp@3750rpm"",""Max Torque (nm@rpm)"":""350nm@1750-2500rpm"",""Seating Capacity"":""5"",""TransmissionType"":""Automatic"",""Boot Space (Litres)"":""425"",""Fuel Tank Capacity"":""50.0"",""Body Type"":""SUV""}","https://www.cardekho.com/tata/harrier"
"","Toyota Innova Crysta","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:16","www.cardekho.com","IN","{""ARAI Mileage"":""8.0 kmpl"",""Fuel Type"":""Petrol"",""Engine Displacement (cc)"":""2694"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""163.60bhp@5200rpm"",""Max Torque (nm@rpm)"":""245nm@4000rpm"",""Seating Capacity"":""7"",""TransmissionType"":""Automatic"",""Boot Space (Litres)"":""300"",""Fuel Tank Capacity"":""65.0"",""Body Type"":""MUV""}","https://www.cardekho.com/toyota/innova-crysta"
"","Mahindra Scorpio-N","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:17","www.cardekho.com","IN","{""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""2198"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""172.45bhp@3500rpm"",""Max Torque (nm@rpm)"":""400nm@1750-2750rpm"",""Seating Capacity"":""7"",""TransmissionType"":""Automatic"",""Fuel Tank Capacity"":""57.0"",""Body Type"":""SUV"",""Ground Clearance Unladen"":""187""}","https://www.cardekho.com/mahindra/scorpio-n"
"","Toyota Fortuner","cars available in range of price 20 to 35 lakhs INR in India","620224","12345","12345_car_dekho_price_range","2022-09-16 11:54:17","www.cardekho.com","IN","{""City Mileage"":""8.0 kmpl"",""Fuel Type"":""Diesel"",""Engine Displacement (cc)"":""2755"",""No. of cylinder"":""4"",""Max Power (bhp@rpm)"":""201.15bhp@3000-3400rpm"",""Max Torque (nm@rpm)"":""500Nm@1600-2800rpm"",""Seating Capacity"":""7"",""TransmissionType"":""Automatic"",""Body Type"":""SUV"",""Service Cost (Avg. of 5 years)"":""Rs.6,344""}","https://www.cardekho.com/carmodels/Toyota/Toyota_Fortuner"
